SendOnlineNotificationWorker              .text 00011006 00000099 R . . . B . . [UNIMPLEMENTED]
PostOnlineNotification                    .text 000110A4 000000E4 R . . . B T . [UNIMPLEMENTED]
WaitForOnlinesToComplete                  .text 0001118E 00000083 R . . . B T . [ IMPLEMENTED ]
WorkerThread                              .text 00011216 00000177 R . . . B T . [ IMPLEMENTED ]
QueueWorkItem                             .text 00011392 00000072 R . . . B T . [ IMPLEMENTED ]
MountMgrNotify                            .text 0001140A 0000008D R . . . B T . [UNIMPLEMENTED]
MountMgrCancel                            .text 0001149C 0000003A R . . . B . . [ IMPLEMENTED ]
MountMgrChangeNotify                      .text 000114DC 00000088 R . . . B T . [UNIMPLEMENTED]
MountMgrCleanup                           .text 0001156A 00000092 R . . . B . . [ IMPLEMENTED ]
MountMgrShutdown                          .text 00011602 00000073 R . . . B . . [ IMPLEMENTED ]
UniqueIdChangeNotifyCompletion            .text 0001167A 00000022 R . . . B T . [ IMPLEMENTED ]
CreateStringWithGlobal                    PAGE  00014006 0000016C R . . . B T . [ IMPLEMENTED ]
GlobalCreateSymbolicLink                  PAGE  00014178 00000039 R . . . B T . [ IMPLEMENTED ]
GlobalDeleteSymbolicLink                  PAGE  000141B6 00000036 R . . . B T . [ IMPLEMENTED ]
QueryDeviceInformation                    PAGE  000141F2 000005A3 R . . . B T . [ IMPLEMENTED ]
FindDeviceInfo                            PAGE  0001479A 00000089 R . . . B T . [UNIMPLEMENTED]
QuerySuggestedLinkName                    PAGE  00014828 000001E7 R . . . B T . [ IMPLEMENTED ]
SymbolicLinkNamesFromUniqueIdQuery        PAGE  00014A6E 000000AE R . . . B . . [ IMPLEMENTED ]
IsDriveLetter                             PAGE  00014B22 00000057 R . . . B T . [ IMPLEMENTED ]
CreateNewVolumeName                       PAGE  00014B7E 000000AB R . . . B . . [UNIMPLEMENTED]
QuerySymbolicLinkNamesFromStorage         PAGE  00014D70 0000016B R . . . B T . [ IMPLEMENTED ]
MigrateRemoteDatabaseWorker               PAGE  00014F86 00000318 R . . . B T . [UNIMPLEMENTED]
MigrateRemoteDatabase                     PAGE  000152A4 0000009D R . . . B . . [UNIMPLEMENTED]
OpenRemoteDatabase                        PAGE  00015346 0000012A R . . . B T . [UNIMPLEMENTED]
GetRemoteDatabaseSize                     PAGE  00015476 0000002C R . . . B T . [UNIMPLEMENTED]
CloseRemoteDatabase                       PAGE  000154A8 0000000C R . . . B . . [UNIMPLEMENTED]
TruncateRemoteDatabase                    PAGE  000154BA 0000004B R . . . B T . [UNIMPLEMENTED]
GetRemoteDatabaseEntry                    PAGE  0001550A 000000C1 R . . . B T . [UNIMPLEMENTED]
WriteRemoteDatabaseEntry                  PAGE  000155D0 00000046 R . . . B T . [UNIMPLEMENTED]
DeleteRemoteDatabaseEntry                 PAGE  0001561C 00000111 R . . . B T . [UNIMPLEMENTED]
AddRemoteDatabaseEntry                    PAGE  00015732 00000037 R . . . B T . [UNIMPLEMENTED]
ChangeRemoteDatabaseUniqueId              PAGE  0001576E 0000016C R . . . B T . [UNIMPLEMENTED]
WaitForRemoteDatabaseSemaphore            PAGE  000158E0 00000038 R . . . B . . [ IMPLEMENTED ]
ReleaseRemoteDatabaseSemaphore            PAGE  0001591E 0000001C R . . . B . . [ IMPLEMENTED ]
SendLinkCreated                           PAGE  00015940 0000015D R . . . B T . [ IMPLEMENTED ]
CreateNoDriveLetterEntry                  PAGE  00015AF4 000000CB R . . . B . . [UNIMPLEMENTED]
