DiskReadWriteVerification(x,x)                     .text 00011086 000000D2 R . . . B T . [ IMPLEMENTED ]
DiskFlushComplete(x,x,x)                           .text 00011218 000000BC R . . . B T . [ IMPLEMENTED ]
ResetBus(x)                                        .text 000113C2 000000D9 R . . . B T . [UNIMPLEMENTED]
DiskIoctlGetCacheSetting(x,x)                      .text 000114F8 0000009E R . . . B . . [ IMPLEMENTED ]
DiskIoctlSetCacheSetting(x,x)                      .text 0001162A 000000A0 R . . . B T . [ IMPLEMENTED ]
DiskDeviceControl(x,x)                             .text 00012A56 00001D16 R . . . B T . [ IMPLEMENTED ]
DiskFdoProcessError(x,x,x,x)                       .text 000147E6 000001FB R . . . B T . [ IMPLEMENTED ]
DiskPostReregisterRequest(x,x)                     .text 00014A2A 00000073 R . . . B . . [ IMPLEMENTED ]
DiskInfoExceptionComplete(x,x,x)                   .text 00014CC2 00000236 R . . . B T . [ IMPLEMENTED ]
DiskInfoExceptionCheck(x)                          .text 000150D2 0000025E R . . . B T . [ IMPLEMENTED ]
DiskFdoQueryWmiRegInfoEx(x,x,x,x)                  .text 00015336 00000017 R . . . B . . [UNIMPLEMENTED]
DiskEnableSmart(x)                                 .text 00015352 00000057 R . . . B . . [ IMPLEMENTED ]
DiskDisableSmart(x)                                .text 000153AE 00000057 R . . . B . . [ IMPLEMENTED ]
DiskExecuteSmartDiagnostics(x,x)                   .text 0001540A 00000058 R . . . B . . [UNIMPLEMENTED]
DiskAcquirePartitioningLock(x)                     .text 00015594 0000008C R . . . B T . [ IMPLEMENTED ]
DiskReleasePartitioningLock(x)                     .text 000156F8 00000087 R . . . B T . [ IMPLEMENTED ]
DiskCleanupDetectInfo(x)                           .text 00015784 0000001C R . . . . . . [ IMPLEMENTED ]
DiskDriverReinitialization(x,x,x)                  .text 00015AAC 00000233 R . . . B T . [ IMPLEMENTED ]
DiskReadDriveCapacity(x)                           .text 00015D4C 00000049 R . . . B . . [ IMPLEMENTED ]
DiskSetPartitionInformation(x,x,x,x)               .text 00015DC8 0000003A R . . . B . . [ IMPLEMENTED ]
DiskInvalidatePartitionTable(x,x)                  .text 00015E60 0000006B R . . . B . . [ IMPLEMENTED ]
DiskVerifyPartitionTable(x,x)                      .text 00015F00 0000003A R . . . B T . [ IMPLEMENTED ]
DiskStopDevice(x,x)                                .text 00015F40 0000002D R . . . B . . [UNIMPLEMENTED]
DiskUnload(x)                                      PAGE  0001905C 00000042 R . . . B . . [ IMPLEMENTED ]
DiskCreateFdo(x,x,x,x)                             PAGE  000191B4 000002EC R . . . B . . [ IMPLEMENTED ]
DiskDetermineMediaTypes(x,x,x,x,x,x)               PAGE  000195FC 00000344 R . . . B . . [UNIMPLEMENTED]
DiskModeSelect(x,x,x,x)                            PAGE  00019A00 0000015E R . . . B . . [UNIMPLEMENTED]
DiskIoctlVerify(x,x)                               PAGE  00019C84 000001FB R . . . B T . [UNIMPLEMENTED]
DiskSetSpecialHacks(x,x)                           PAGE  00019F42 000000C1 R . . . B T . [UNIMPLEMENTED]
DiskQueryPnpCapabilities(x,x)                      PAGE  0001A096 00000096 R . . . B T . [UNIMPLEMENTED]
DiskGetCacheInformation(x,x)                       PAGE  0001A1F8 000001B6 R . . . B . . [ IMPLEMENTED ]
DiskSetCacheInformation(x,x)                       PAGE  0001A476 000001ED R . . . B . . [UNIMPLEMENTED]
DiskLogCacheInformation(x,x,x)                     PAGE  0001A6C0 000000C2 R . . . B . . [UNIMPLEMENTED]
DiskPdoFindPartitionEntry(x,x)                     PAGE  0001A85E 000000E9 R . . . B . . [UNIMPLEMENTED]
DiskFindContainingPartition(x,x,x)                 PAGE  0001AA72 00000157 R . . . B T . [UNIMPLEMENTED]
DiskGetInfoExceptionInformation(x,x)               PAGE  0001ACF0 0000010D R . . . B . . [UNIMPLEMENTED]
DiskSetInfoExceptionInformation(x,x)               PAGE  0001AEA2 00000081 R . . . B . . [UNIMPLEMENTED]
DiskIoctlCreateDisk(x,x)                           PAGE  0001B034 000000F4 R . . . B T . [UNIMPLEMENTED]
DiskIoctlGetDriveLayout(x,x)                       PAGE  0001B23A 0000017C R . . . B T . [ IMPLEMENTED ]
DiskIoctlGetDriveLayoutEx(x,x)                     PAGE  0001B4C8 00000157 R . . . B T . [ IMPLEMENTED ]
DiskIoctlSetDriveLayout(x,x)                       PAGE  0001B732 00000183 R . . . B T . [UNIMPLEMENTED]
DiskIoctlSetDriveLayoutEx(x,x)                     PAGE  0001BA54 00000222 R . . . B T . [UNIMPLEMENTED]
DiskIoctlGetPartitionInfo(x,x)                     PAGE  0001BD38 00000213 R . . . B T . [ IMPLEMENTED ]
DiskIoctlGetPartitionInfoEx(x,x)                   PAGE  0001C00E 00000214 R . . . B T . [ IMPLEMENTED ]
